Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,15pF,C1548
"C10, C9",402,2,0.1uF,C1525
"C11, C12, C5",402,3,1uF,C52923
"C13, C14, C15, C16, C17, C18, C20, C21",402,8,100nF,C1525
"C19, C6",402,2,2.2uF,C12530
"C3, C4, C8",402,3,10uF,C15525
C7,402,1,33pF,C1562
LED1,LED0603-RD,1,KT-0603R,C2286
MIC1,MIC-SMD_4P-L2.8-W1.9-P1.84-TL,1,ZTS6216,C481302
"R1, R2",402,2,5.1K,C25905
R10,402,1,3.3k,C25890
R11,402,1,200k,C25764
"R12, R13",402,2,220,C25091
R15,402,1,100k,C25741
"R17, R24, R25, R6, R8, R9",402,6,10k,C25744
"R3, R4",402,2,22,C25092
"R5, R7",402,2,1K,C11702
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C179173
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP6001T-I/OT,C116490
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
