Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,15pF,C1548
"C10, C9, C6, C5",402,2,0.1uF,C1525
"C11, C12",402,2,1uF,C52923
"C13, C14, C15, C16, C17, C18, C20, C21",402,8,100nF,C1525
C19,402,1,2.2uF,C12530
"C3, C4, C8",402,3,10uF,C15525
LED1,LED0603-RD,1,KT-0603R,C2286
MIC1,LGA-6_L4.7-W3.8-P1.65_LMD4737T,1,LMD4737T263-OY1,C5373239
MIC2,MIC-SMD_5P-L3.0-W4.0-P0.85-BL,1,MP34DT05TR-A,C2688664
"R1, R2",402,2,5.1K,C25905
"R12, R13",402,2,220,C25091
"R24, R25, R6",402,3,10k,C25744
"R3, R4",402,2,22,C25092
"R5, R7",402,2,1K,C11702
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C179173
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
