Designator,Mid X,Mid Y,Rotation,Layer
C1,216.2,-115.8,90.0,top
C10,236.95,-112.275,270.0,top
C11,212.25,-102.02,90.0,top
C12,215.6,-101.72,90.0,top
C13,219.0,-110.4,270.0,top
C14,219.48,-105.8,0.0,top
C15,215.2,-113.15,270.0,top
C16,209.02,-108.7,180.0,top
C17,209.5,-105.78,270.0,top
C18,219.48,-104.7,0.0,top
C19,217.8,-101.7,90.0,top
C2,210.8,-115.7,270.0,top
C20,216.7,-101.7,90.0,top
C21,209.05,-113.0,180.0,top
C3,208.28,-101.4,180.0,top
C4,232.7,-105.775,90.0,top
C6,230.82,-104.9,180.0,top
C8,223.755,-113.0,180.0,top
C9,236.975,-107.9,270.0,top
J1,196.9625,-98.713286,150.0,top
LED1,209.1,-110.8,90.0,top
LEDS1,187.3,-115.385,180.0,bottom
LEDS2,220.25549,-118.921351,90.0,bottom
LEDS3,241.340511,-117.301414,120.0,top
MIC1,233.0,-101.73,0.0,top
R1,209.0,-97.4,90.0,top
R12,207.5,-110.9,270.0,top
R13,219.5,-102.4,180.0,top
R2,221.0,-97.5,270.0,top
R24,221.375,-110.45,0.0,top
R25,221.475,-109.175,0.0,top
R3,213.4,-101.7,270.0,top
R4,214.5,-101.7,270.0,top
R5,213.9,-113.19,90.0,top
R6,216.3,-113.2,90.0,top
R7,199.4,-100.3,0.0,top
SW1,205.3,-97.4,180.0,top
SW2,225.0,-97.5,180.0,top
U1,214.1,-107.7,90.0,top
U2,202.6,-103.885,270.0,top
U3,227.3,-109.9,180.0,top
U7,227.31105,-109.9,270.0,bottom
USB1,214.9865,-96.77,180.0,top
VR1,199.8,-111.2,0.0,bottom
X1,213.5,-116.3,0.0,top
