Designator,Val,Package, Mid X, Mid Y,  Rotation,Layer
"AE1","RFANT3216120A5T","FILTER-SMD_1206-2P-L3.2-W1.6-L",150.050000,-76.800000,180.000000,top
"C1","100n","C_0402_1005Metric",137.170000,-78.450000,0.000000,top
"C2","33pF","C_0402_1005Metric",120.780000,-76.600000,0.000000,top
"C3","2.2uF","C_0402_1005Metric",120.770000,-77.650000,180.000000,top
"C4","100n","C_0402_1005Metric",125.900000,-81.250000,180.000000,top
"C5","1u","C_0402_1005Metric",125.950000,-77.600000,90.000000,top
"C6","100n","C_0402_1005Metric",128.650000,-76.300000,0.000000,top
"C7","15pF","C_0402_1005Metric",137.020000,-84.900000,0.000000,top
"C8","10uF","C_0603_1608Metric",139.050000,-78.000000,-90.000000,top
"C9","100n","C_0402_1005Metric",137.170000,-79.500000,0.000000,top
"C10","1u","C_0402_1005Metric",118.800000,-82.450000,180.000000,top
"C11","1u","C_0402_1005Metric",127.050000,-76.900000,90.000000,top
"C12","100n","C_0402_1005Metric",132.350000,-85.600000,180.000000,top
"C13","15pF","C_0402_1005Metric",139.100000,-80.650000,0.000000,top
"C14","100n","C_0402_1005Metric",124.950000,-76.976250,-90.000000,top
"C15","100n","C_0402_1005Metric",122.650000,-82.320000,-90.000000,top
"C16","100n","C_0402_1005Metric",153.470000,-85.600000,180.000000,top
"C17","10u","C_0603_1608Metric",150.900000,-81.600000,180.000000,top
"C18","100n","C_0402_1005Metric",155.400000,-85.600000,0.000000,top
"C19","10pF","C_0402_1005Metric",162.380000,-83.190000,180.000000,top
"C20","1.5pF","C_0402_1005Metric",157.670000,-76.820000,-90.000000,top
"C21","100n","C_0402_1005Metric",159.600000,-79.320000,90.000000,top
"C22","100n","C_0402_1005Metric",162.380000,-76.600000,180.000000,top
"C23","10uF","C_0603_1608Metric",148.050000,-83.800000,90.000000,top
"C24","10pF","C_0402_1005Metric",161.130000,-78.650000,180.000000,top
"C25","100n","C_0402_1005Metric",161.610000,-77.590000,0.000000,top
"C26","1.5pF","C_0402_1005Metric",154.670000,-76.800000,-90.000000,top
"D1","Schottky, 1A","D_SOD-123F",112.350000,-78.100000,-90.000000,top
"D2","LED, Orange","LED_0402_1005Metric",130.335000,-85.600000,0.000000,top
"D3","LED, BLUE","LED_0402_1005Metric",152.000000,-84.800000,90.000000,top
"D4","LED, RED","LED_0402_1005Metric",167.900000,-77.000000,180.000000,top
"D5","Schottky, 1A","D_SOD-123F",167.950000,-83.707500,90.000000,top
"FB1","600R@100Mhz, 0.5A","L_0402_1005Metric",132.280000,-76.240000,180.000000,top
"L1","2.7nH","L_0402_1005Metric",156.170000,-76.400000,180.000000,top
"L2","24nH","L_0402_1005Metric",160.460000,-83.180000,180.000000,top
"L3","6.8nH","L_0402_1005Metric",153.170000,-76.400000,180.000000,top
"MIC1","ZTS6216","MIC-SMD_4P-L2.8-W1.9-P1.84-TL",123.200000,-77.630000,0.000000,top
"R1","220R","R_0402_1005Metric",128.340000,-85.600000,0.000000,top
"R2","22R","R_0402_1005Metric",125.900000,-80.200000,0.000000,top
"R3","10K","R_0402_1005Metric",137.200000,-77.350000,180.000000,top
"R4","10K","R_0402_1005Metric",121.000000,-82.500000,0.000000,top
"R5","3.3k","R_0402_1005Metric",118.760000,-77.600000,0.000000,top
"R6","22R","R_0402_1005Metric",125.900000,-79.150000,0.000000,top
"R7","1K","R_0402_1005Metric",137.100000,-80.650000,180.000000,top
"R8","200k","R_0402_1005Metric",118.750000,-76.550000,0.000000,top
"R9","10K","R_0402_1005Metric",118.800000,-83.500000,0.000000,top
"R10","1K","R_0402_1005Metric",122.550000,-84.390000,-90.000000,top
"R11","10K","R_0402_1005Metric",151.490000,-82.900000,0.000000,top
"R12","10K","R_0402_1005Metric",151.410000,-79.170000,0.000000,top
"R13","220R","R_0402_1005Metric",150.850000,-84.800000,90.000000,top
"R14","10K","R_0402_1005Metric",151.410000,-80.250000,0.000000,top
"R15","22R","R_0402_1005Metric",162.230000,-84.400000,180.000000,top
"R16","500R","R_0402_1005Metric",148.550000,-80.000000,0.000000,top
"R17","22R","R_0402_1005Metric",162.230000,-85.460000,180.000000,top
"R18","220R","R_0402_1005Metric",167.940000,-78.250000,0.000000,top
"SW1","RUN","SW_SPST_B3U-1000P",115.550000,-78.300000,-90.000000,top
"SW2","BOOT_SEL","SW_SPST_B3U-1000P",115.550000,-83.600000,-90.000000,top
"SW3","BOOT","SW_SPST_B3U-1000P",165.050000,-83.500000,-90.000000,top
"SW4","RUN","SW_SPST_B3U-1000P",165.100000,-78.300000,-90.000000,top
"U1","W25Q32JVUUIQ","USON-8_L4.0-W3.0-P0.80-BL_WINBOND_UU",125.350000,-83.745000,0.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",131.650000,-80.900000,90.000000,top
"U3","MCP6001-OT","SOT-23-5",119.950000,-80.100000,0.000000,top
"U4","ESP32-C3FH4","ESP32-C3FH4",155.950000,-81.850000,-90.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",143.650000,-80.950000,-90.000000,top
"USB1","47346-0001","MICRO-USB-SMD_47346-0001",108.880000,-80.970000,-90.000000,top
"USB2","47346-0001","MICRO-USB-SMD_47346-0001",171.350000,-80.900000,90.000000,top
"Y1","12MHz, X252012MMB4SI-24","Crystal_SMD_2520-4Pin_2.5x2.0mm",137.825000,-82.800000,0.000000,top
"Y2","40MHz, X252040MMB4SI","Crystal_SMD_2520-4Pin_2.5x2.0mm",161.730000,-80.940000,-90.000000,top
