Designator,Val,Package, Mid X, Mid Y,  Rotation,Layer
"AE1","RFANT3216120A5T","FILTER-SMD_1206-2P-L3.2-W1.6-L",175.050000,-80.450000,90.000000,top
"C1","100n","C_0402_1005Metric",137.170000,-78.680000,0.000000,top
"C2","2.2u","C_0402_1005Metric",126.975000,-77.225000,90.000000,top
"C3","100n","C_0402_1005Metric",137.170000,-79.670000,0.000000,top
"C4","100n","C_0402_1005Metric",126.190000,-80.970000,180.000000,top
"C5","100n","C_0402_1005Metric",133.810000,-76.230000,0.000000,top
"C6","1u","C_0402_1005Metric",137.180000,-77.680000,0.000000,top
"C7","1u","C_0402_1005Metric",124.925000,-77.325000,90.000000,top
"C8","15pF","C_0402_1005Metric",137.180000,-85.250000,0.000000,top
"C9","100n","C_0402_1005Metric",128.660000,-76.230000,0.000000,top
"C10","100n","C_0402_1005Metric",132.350000,-85.600000,180.000000,top
"C11","15pF","C_0402_1005Metric",139.230000,-80.670000,0.000000,top
"C12","100n","C_0402_1005Metric",116.560000,-78.360000,0.000000,top
"C13","100n","C_0402_1005Metric",118.050000,-76.900000,-90.000000,top
"C14","100n","C_0402_1005Metric",159.550000,-76.800000,90.000000,top
"C15","10uF","C_0603_1608Metric",139.760000,-77.990000,-90.000000,top
"C16","100n","C_0402_1005Metric",161.170000,-77.500000,180.000000,top
"C17","100n","C_0402_1005Metric",157.790000,-80.020000,0.000000,top
"C18","10uF","C_0603_1608Metric",148.750000,-80.800000,90.000000,top
"C19","10uF","C_0603_1608Metric",160.605000,-78.770000,180.000000,top
"C20","100n","C_0402_1005Metric",169.740000,-76.400000,0.000000,top
"C21","1.5pF","C_0402_1005Metric",169.800000,-80.770000,90.000000,top
"C22","1.5pF","C_0402_1005Metric",172.750000,-80.750000,90.000000,top
"C23","10pF","C_0402_1005Metric",169.950000,-85.100000,90.000000,top
"C24","100n","C_0402_1005Metric",169.730000,-82.400000,0.000000,top
"C25","10pF","C_0402_1005Metric",165.250000,-85.100000,90.000000,top
"C26","100n","C_0402_1005Metric",170.950000,-83.400000,0.000000,top
"D1","LED, Yellow","LED_0603_1608Metric",117.700000,-84.650000,-90.000000,top
"D2","LED, RED","LED_0603_1608Metric",150.450000,-80.800000,90.000000,top
"D3","LED, RED","LED_0603_1608Metric",171.175000,-77.710000,180.000000,top
"J1","PROG","USB_PROG_PAD",108.650000,-84.755000,180.000000,top
"J2","PROG","USB_PROG_PAD",157.620000,-84.680000,-90.000000,top
"L1","15nH","L_0402_1005Metric",164.150000,-85.100000,90.000000,top
"L2","2.4nH","L_0402_1005Metric",171.275000,-81.200000,0.000000,top
"R1","22R","R_0402_1005Metric",125.865000,-79.950000,0.000000,top
"R2","10K","R_0402_1005Metric",135.730000,-76.230000,180.000000,top
"R3","200R","R_0402_1005Metric",125.950000,-77.325000,-90.000000,top
"R4","1K","R_0402_1005Metric",137.190000,-80.700000,180.000000,top
"R5","22R","R_0402_1005Metric",125.850000,-78.875000,0.000000,top
"R6","220R","R_0402_1005Metric",116.950000,-82.160000,-90.000000,top
"R7","1K","R_0402_1005Metric",118.000000,-82.150000,-90.000000,top
"R8","0R","R_0402_1005Metric",160.450000,-84.125000,0.000000,top
"R9","10K","R_0402_1005Metric",157.800000,-81.030000,180.000000,top
"R10","470R","R_0402_1005Metric",160.450000,-85.250000,0.000000,top
"R11","22R","R_0402_1005Metric",160.460000,-82.975000,0.000000,top
"R12","10K","R_0402_1005Metric",161.150000,-76.400000,0.000000,top
"R13","22R","R_0402_1005Metric",160.450000,-81.875000,0.000000,top
"R14","220R","R_0402_1005Metric",151.850000,-81.390000,-90.000000,top
"R15","10K","R_0402_1005Metric",158.450000,-76.800000,90.000000,top
"R16","10K","R_0402_1005Metric",169.940000,-79.025000,180.000000,top
"R17","220R","R_0402_1005Metric",171.750000,-76.350000,0.000000,top
"SW1","BTN","SW_SPST_B3U-1000P",113.250000,-81.100000,180.000000,top
"SW2","BTN","SW_SPST_B3U-1000P",113.250000,-84.500000,180.000000,top
"SW3","BTN","SW_SPST_B3U-1000P",150.400000,-77.475000,0.000000,top
"SW4","BTN","SW_SPST_B3U-1000P",155.475000,-77.475000,180.000000,top
"U1","SD18OB371-041","RHLGA-5L_L3.5-W2.7-P0.82-MP23ABS1TR",113.557500,-77.460000,-90.000000,top
"U2","W25Q128JVS","SOIC-8_5.275x5.275mm_P1.27mm",121.500000,-80.650000,90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",131.650000,-80.900000,90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",144.260000,-80.890000,-90.000000,top
"U5","ESP32-C3FH4","ESP32-C3FH4",165.600000,-79.750000,180.000000,top
"Y1","12MHz, X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",138.380000,-82.930000,0.000000,top
"Y2","40MHz, X252040MMB4SI","Crystal_SMD_2520-4Pin_2.5x2.0mm",167.550000,-84.500000,180.000000,top
