"Reference","Value","Datasheet","Footprint","Qty","LCSC Part#"
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","C6186"
"U3","RP2040","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","1","C2040"
"R8","0R","https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168","Resistor_SMD:R_0402_1005Metric","1","C17168 "
"C21,C22","1.5pF","https://jlcpcb.com/partdetail/1904-0402CG1R5C500NT/C1552","Capacitor_SMD:C_0402_1005Metric","2","C1552"
"C15,C18,C19","10uF","https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702","Capacitor_SMD:C_0603_1608Metric","3","C19702"
"R3","200R","https://jlcpcb.com/partdetail/25830-0402WGF2000TCE/C25087","Resistor_SMD:R_0402_1005Metric","1","C25087"
"R10","470R","https://jlcpcb.com/partdetail/25860-0402WGF4700TCE/C25117","Resistor_SMD:R_0402_1005Metric","1","C25117 "
"D1","LED, Yellow","https://jlcpcb.com/partdetail/73147-19_213_Y2C_CQ2R2L_3T_CY/C72038","LED_SMD:LED_0603_1608Metric","1","C72038"
"U1","SD18OB371-041","https://jlcpcb.com/partdetail/Goertek-SD18OB371041/C3040249","External_Library:RHLGA-5L_L3.5-W2.7-P0.82-MP23ABS1TR","1","C3040249"
"D3","LED, RED","https://jlcpcb.com/partdetail/Hubei_KentoElec-KT0603R/C2286","LED_SMD:LED_0603_1608Metric","1","C2286"
"U2","W25Q128JVS","https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521","Package_SO:SOIC-8_5.275x5.275mm_P1.27mm","1"," C97521"
"Y1","12MHz, X322512MSB4SI","https://jlcpcb.com/partdetail/Yxc_CrystalOscillators-X322512MSB4SI/C9002","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","C9002"
"AE1","RFANT3216120A5T","https://lcsc.com/product-detail/RF-Filters_RFANT3216120A5T_C127629.html","External_Library:FILTER-SMD_1206-2P-L3.2-W1.6-L","1","C127629"
"R4,R7","1K","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.html","Resistor_SMD:R_0402_1005Metric","2","C11702"
"R2,R9,R12,R15,R16","10K","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.html","Resistor_SMD:R_0402_1005Metric","5","C25744"
"R6,R17","220R","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF2200TCE_C25091.html","Resistor_SMD:R_0402_1005Metric","2","C25091"
"R1,R5,R11,R13","22R","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF220JTCE_C25092.html","Resistor_SMD:R_0402_1005Metric","4","C25092"
"Y2","40MHz, X252040MMB4SI","https://www.lcsc.com/product-detail/Crystals_YXC-Crystal-Oscillators-X252040MMB4SI_C2885592.html","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","1","C2885592"
"L2","6.8nH","https://www.lcsc.com/product-detail/Inductors-SMD_Murata-Electronics-LQG15HS6N8J02D_C77110.html","Inductor_SMD:L_0402_1005Metric","1","C77110"
"U5","ESP32-C3FH4","https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_Espressif-Systems-ESP32-C3FH4_C2858491.html","External_Library:ESP32-C3FH4","1","C2858491"
"C23,C25","10pF","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0402COG100J500AT_C696913.html","Capacitor_SMD:C_0402_1005Metric","2","C32949 "
"C8,C11","15pF","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.html","Capacitor_SMD:C_0402_1005Metric","2","C1548"
"C6,C7","1u","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.html","Capacitor_SMD:C_0402_1005Metric","2","C52923"
"C2","2.2u","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.html","Capacitor_SMD:C_0402_1005Metric","1","C12530"
"C1,C3,C4,C5,C9,C10,C12,C13,C16,C20,C24,C26","100n","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.html","Capacitor_SMD:C_0402_1005Metric","12","C1525"
"L1","2.7nH","https://www.lcsc.com/product-detail/Power-Inductors_Murata-Electronics-LQW15AN2N7C00D_C98058.html","Inductor_SMD:L_0402_1005Metric","1"," C98058"
